Change Physical Footprint: Designator=1 Old Footprint=AK-207 New Footprint=AK-207
Change Physical Footprint: Designator=2 Old Footprint=CA56-11EWA New Footprint=CA56-11EWA
Change Physical Footprint: Designator=3 Old Footprint=PCI-120 New Footprint=PCI-120
Change Physical Footprint: Designator=Button 1 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=Button2 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=Button3 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=C1 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C2 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C3 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C4 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C5 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C6 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C7 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C8 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C9 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C16 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C17 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C18 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=C19 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=Connector Old Footprint=Connect New Footprint=Connect
Change Physical Footprint: Designator=CT2 Old Footprint=tantal cap New Footprint=tantal cap
Change Physical Footprint: Designator=Dip1 Old Footprint=SWD1-8 New Footprint=SWD1-8
Change Physical Footprint: Designator=DS Old Footprint=ds-313 New Footprint=ds-313
Change Physical Footprint: Designator=ELVIS_DIO_1 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=ELVIS_DIO_2 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=ELVIS_DIO_3 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=ELVIS_Else Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=ELVIS_PFI Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=P1 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=P_GIO_1 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=P_GIO_2 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=P_GIO_3 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=P_GIO_4 Old Footprint=DS1013-16 New Footprint=DS1013-16
Change Physical Footprint: Designator=R2 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R3 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R4 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R5 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R6 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R7 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R8 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R9 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R10 Old Footprint=R0805 New Footprint=R0805
Change Physical Footprint: Designator=R11 Old Footprint=R0805 New Footprint=R0805
