Change Physical Footprint: Designator=* Old Footprint=PCI-120 New Footprint=PCI-120
Change Physical Footprint: Designator=Connector Old Footprint=Connect New Footprint=Connect
Change Physical Footprint: Designator=dip Old Footprint=SWD1-8 New Footprint=SWD1-8
Change Physical Footprint: Designator=DS Old Footprint=ds-313 New Footprint=ds-313
Change Physical Footprint: Designator=greb1.1 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=greb1.2 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=greb2.1 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=greb2.2 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=greb2.3 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=greb2.4 Old Footprint=GREBENKA New Footprint=GREBENKA
Change Physical Footprint: Designator=HC12G-04F Old Footprint=HC12G-04F New Footprint=HC12G-04F
Change Physical Footprint: Designator=IDC10-1 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-2 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-3 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-4 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-5 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-6 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-7 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=IDC10-8 Old Footprint=IDC10 New Footprint=IDC10
Change Physical Footprint: Designator=KLAV Old Footprint=AK-207 New Footprint=AK-207
Change Physical Footprint: Designator=ps850l-1 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=ps850l-2 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=ps850l-3 Old Footprint=ps850l New Footprint=ps850l
Change Physical Footprint: Designator=ps850lreset Old Footprint=ps850l New Footprint=ps850l
